source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
autotrader,Chrysler,300,2022,36988,17704,THORNHILL,2024-03-10,https://www.autotrader.ca/a/chrysler/300/thornhill/ontario/5_60850906_on20090112102238078/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=1&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Mazda,Mazda3,2020,9999,80000,MISSISSAUGA,2024-03-10,https://www.autotrader.ca/a/mazda/mazda3/mississauga/ontario/19_12790769_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=2&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Toyota,RAV4,2020,26990,144244,TORONTO,2024-03-10,https://www.autotrader.ca/a/toyota/rav4/toronto/ontario/5_60852491_20130613104346670/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=3&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Porsche,911,2017,169800,65888,NORTH YORK,2024-03-10,https://www.autotrader.ca/a/porsche/911/north%20york/ontario/5_60135597_20111115101047209/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=4&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Nissan,Versa,2017,8288,184801,TORONTO,2024-03-10,https://www.autotrader.ca/a/nissan/versa%20note/toronto/ontario/5_60990667_on20080611094525059/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=5&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Volkswagen,Atlas,2019,35000,97678,CONCORD,2024-03-10,https://www.autotrader.ca/a/volkswagen/atlas/concord/ontario/19_12763014_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=6&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Land Rover,Range Rover,2021,88898,16245,VAUGHAN,2024-03-10,https://www.autotrader.ca/a/land%20rover/range%20rover%20sport/vaughan/ontario/5_61482115_20151120114639071/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=7&urm=8&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Mercedes-Benz,GLA,2018,26900,86563,TORONTO,2024-03-10,https://www.autotrader.ca/a/mercedes-benz/gla/toronto/ontario/5_61660931_on20090209112810199/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=1_15_62894&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Honda,CR-V,2020,32556,52646,TORONTO,2024-03-10,https://www.autotrader.ca/a/honda/cr-v/toronto/ontario/5_61678184_on20080128113952125/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=2_15_62894&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,BMW,X4,2020,46910,53026,VAUGHAN,2024-03-10,https://www.autotrader.ca/a/bmw/x4/vaughan/ontario/5_61702125_20090806102017371/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=3_15_62894&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
autotrader,Mazda,Mazda3,2019,20999,80701,AURORA,2024-03-10,https://www.autotrader.ca/a/mazda/mazda3/aurora/ontario/5_61664111_on20070704162427947/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=4_15_62894&sprx=50,https://tdrpmimages.azureedge.net/photos/202401-2916-5410/43690c6d-3ca3-47cc-940e-2270c6bd99e5.jpg-180x135
