source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
goauto,Lincoln,Aviator,2020,44998,49400,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/zydCLJ8KWa,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/stock_photos/yrz6ccgfgemnttkpeio2.jpg"
goauto,Honda,Civic,2022,29998,40500,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/zwWNkkT3N5,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PW6576/s7rli0unok62fjn5mhx1.jpg"
goauto,BMW,X5,2019,45998,80900,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/ybSULpyEu6,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PA0909/lzmg9fvqhona9y56cuti.jpg"
goauto,Dodge,Journey,2016,21998,66500,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/xmCAbQ8dMV,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PA8292/qtrl64pf4av7o5kiukde.jpg"
goauto,Lincoln,Corsair,2022,57498,18200,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/xK6tW4mH2u,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PW9319/rnuusoovgjajtcjsalo4.jpg"
goauto,Mercedes-Benz,GLE,2020,56998,85800,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/wXjUfS5UEZ,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PW9022/fizdzppnwmnu8hoqoigp.jpg"
goauto,Ford,,2022,78998,78000,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/uYfFGumPyW,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/23XP6356B/zqy85t9kzo05vcz7gjvy.jpg"
goauto,Lincoln,Corsair,2020,40998,35800,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/u82T4qbtUi,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PA6670/jb42gp3qlsibwr151w16.jpg"
goauto,Ford,,2019,39998,25800,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/u6ceExqFeK,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PA2583/kgtaumc9ydr8r5ki19v3.jpg"
goauto,Ford,Escape,2022,31998,36900,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/tsmwFAuA2Z,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PA9701/mkxbkzvkhijghe6pyrwb.jpg"
goauto,Mercedes-Benz,GLE,2022,72998,22100,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/tM7zXUp9vq,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/23FF7295A/rvoupcs4jbevktlyogvs.jpg"
goauto,Ford,,2018,72998,74200,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/tEibJQUyow,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/23FF8635B/bqyl6lsi90aren3ertvi.jpg"
goauto,Lexus,NX,2020,36998,81100,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/t5DFhaJ8r8,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PW9693/gke1hrznixp7sco6lhit.jpg"
goauto,Volkswagen,Tiguan,2019,24498,57300,Go Terrace Ford Lincoln,2024-03-10,https://www.goauto.ca/vehicles/sgNGFFe37p,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2457/PA8139/cpem6hgjk2ordwiggkrh.jpg"
