source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
carpages,Toyota,RAV4,2019,30499,83070,"Kitchener, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/kitchener/2019-toyota-rav4-11058476/,https://images.carpages.ca/inventory/11058476.399755054?w=320&h=240&q=75&s=1023f0383de14b5c94c1f0c60c9bdfc3
carpages,RAM,,2017,29999,56275,"Kitchener, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/kitchener/2017-ram-1500-11058473/,https://images.carpages.ca/inventory/11058473.399755039?w=320&h=240&q=75&s=ef8b92e6acfb9b8b507cdca6774f95ba
carpages,BMW,3 Series,2011,12888,150423,"Bolton, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/bolton/2011-bmw-3-series-11058440/,https://images.carpages.ca/inventory/11058440.399754892?w=320&h=240&q=75&s=6be9fa6add00cbcefc107a676bea8e8b
carpages,Mazda,MAZDA3,2010,9999,117000,"Oakville, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oakville/2010-mazda-mazda3-11058422/,https://images.carpages.ca/inventory/11058422.399753449?w=320&h=240&q=75&s=7e37b8157ce3e23ef173906739c28fe3
carpages,RAM,,2015,15499,212000,"Oshawa, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oshawa/2015-ram-1500-11058419/,https://images.carpages.ca/inventory/11058419.399753299?w=320&h=240&q=75&s=363d19cc075291e8da69e9209d3c0794
carpages,GMC,Terrain,2014,14799,115000,"Oshawa, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oshawa/2014-gmc-terrain-11058413/,https://images.carpages.ca/inventory/11058413.399753170?w=320&h=240&q=75&s=8d3a6ae0b1b12f185893935e0aa9ba67
carpages,Cadillac,Escalade,2024,141306,11,"Bolton, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/bolton/2024-cadillac-escalade-11058242/,https://images.carpages.ca/inventory/11058242.399750509?w=320&h=240&q=75&s=9e615a3458d78cb1987ccc0bdd88e21b
carpages,Cadillac,Escalade,2024,170901,11,"Bolton, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/bolton/2024-cadillac-escalade-esv-11058239/,https://images.carpages.ca/inventory/11058239.399750506?w=320&h=240&q=75&s=23f504f1e334f29773fdb3a4fcf9bad9
carpages,Cadillac,Escalade,2024,144471,11,"Bolton, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/bolton/2024-cadillac-escalade-11058236/,https://images.carpages.ca/inventory/11058236.399750503?w=320&h=240&q=75&s=5584869e706ced25d2bf9197a5c789c5
carpages,Buick,Encore,2024,40670,11,"Bolton, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/bolton/2024-buick-encore-11058233/,https://images.carpages.ca/inventory/11058233.399750500?w=320&h=240&q=75&s=103c8866810c21587c96488fdd6a82ae
carpages,Dodge,Charger,2022,49995,32628,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2022-dodge-charger-11058221/,https://images.carpages.ca/inventory/11058221.399750395?w=320&h=240&q=75&s=aa7b85f713f4b40984df974b065ed994
carpages,Tesla,Model 3,2021,31995,111550,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2021-tesla-model-3-11058218/,https://images.carpages.ca/inventory/11058218.399750335?w=320&h=240&q=75&s=91a42bf8274a7f51a131b10500b5d48e
carpages,Mitsubishi,,2021,20995,67999,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2021-mitsubishi-rvr-11058215/,https://images.carpages.ca/inventory/11058215.399750272?w=320&h=240&q=75&s=0cc7979597dd603c61928ed7a195ccb0
carpages,Mazda,MAZDA6,2021,22995,81158,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2021-mazda-mazda6-11058206/,https://images.carpages.ca/inventory/11058206.399750176?w=320&h=240&q=75&s=a3dcb802681a655bc921abd5a0b16f16
carpages,Mazda,MAZDA6,2021,22995,79600,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2021-mazda-mazda6-11058200/,https://images.carpages.ca/inventory/11058200.399749975?w=320&h=240&q=75&s=8ae26fb0b7c7d7120bb34b8c4f1d0345
carpages,RAM,,2018,17992,140100,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2018-ram-promaster-11058167/,https://images.carpages.ca/inventory/11058167.399748958?w=320&h=240&q=75&s=e4a2247ee0a1e3d72ead422cfe0705bd
carpages,Volvo,XC60,2015,17888,133900,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2015-volvo-xc60-11058164/,https://images.carpages.ca/inventory/11058164.399748946?w=320&h=240&q=75&s=21bde3f288ff8cca312e2f81de0afe04
carpages,Subaru,Forester,2020,17992,183150,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2020-subaru-forester-11058161/,https://images.carpages.ca/inventory/11058161.399748934?w=320&h=240&q=75&s=95d3a65bd0bb9e44040ce1e6a2a5769b
carpages,Audi,Q5,2017,19888,132100,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2017-audi-q5-11058146/,https://images.carpages.ca/inventory/11058146.399748754?w=320&h=240&q=75&s=f25936fe3ec75ce3cf1882852dd44f91
carpages,Lexus,IS,2011,12888,167800,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2011-lexus-is-250-11058137/,https://images.carpages.ca/inventory/11058137.399748661?w=320&h=240&q=75&s=ff9ab824ba98c24d173eb6d24db30a2a
carpages,Nissan,Leaf,2018,12888,162600,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2018-nissan-leaf-11058134/,https://images.carpages.ca/inventory/11058134.399748658?w=320&h=240&q=75&s=976a6b8cd232a6b7ff77dd76e9f2be1a
carpages,Mercedes-Benz,,2019,25888,150200,"Burlington, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/burlington/2019-mercedes-benz-metris-11058122/,https://images.carpages.ca/inventory/11058122.399748550?w=320&h=240&q=75&s=8b7c6abff9fa51f9ec7b1032b65b9e57
carpages,Volkswagen,Jetta,2015,13999,98909,"Hamilton, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/hamilton/2015-volkswagen-jetta-11058029/,https://images.carpages.ca/inventory/11058029.399745682?w=320&h=240&q=75&s=f6091015e0e827f67c171c208fb9d47c
carpages,Hyundai,Santa Fe,2018,16890,165371,"North York, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/north-york/2018-hyundai-santa-fe-11057981/,https://images.carpages.ca/inventory/11057981.399743816?w=320&h=240&q=75&s=eb7b3c8693c35cfc4fb83ce7a23435cf
carpages,Mitsubishi,Mirage,2015,7890,80587,"North York, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/north-york/2015-mitsubishi-mirage-11057978/,https://images.carpages.ca/inventory/11057978.399743687?w=320&h=240&q=75&s=8856572296be105128f7581183e07a73
carpages,Chevrolet,Corvette,2004,31777,137000,"Toronto, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/toronto/2004-chevrolet-corvette-11057975/,https://images.carpages.ca/inventory/11057975.399743558?w=320&h=240&q=75&s=fbbebe06f36d9872d64b6bade38afd78
carpages,Nissan,Sentra,2014,9890,152347,"North York, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/north-york/2014-nissan-sentra-11057972/,https://images.carpages.ca/inventory/11057972.399743321?w=320&h=240&q=75&s=60299da59c33d74dddf797c9609c6cf8
carpages,BMW,2,2020,34980,48561,"Oakville, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oakville/2020-bmw-2-series-11057774/,https://images.carpages.ca/inventory/11057774.399709760?w=320&h=240&q=75&s=ff106d864d8cb4128a651457ca72f26e
carpages,Toyota,Corolla,2020,14980,331225,"Oakville, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oakville/2020-toyota-corolla-11057759/,https://images.carpages.ca/inventory/11057759.399708845?w=320&h=240&q=75&s=dd5c3198a1696218f031f1d6dd82915a
carpages,BMW,4 Series,2014,24980,80155,"Oakville, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oakville/2014-bmw-4-series-11057756/,https://images.carpages.ca/inventory/11057756.399708833?w=320&h=240&q=75&s=d210660ad00e6259c1ccc4c45cbf7ccb
carpages,Kia,Telluride,2022,49980,46351,"Oakville, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/oakville/2022-kia-telluride-11057753/,https://images.carpages.ca/inventory/11057753.399708572?w=320&h=240&q=75&s=9debac08b85941ffa001044c077ebbde
carpages,Toyota,RAV4,2016,17950,163000,"Scarborough, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/scarborough/2016-toyota-rav4-11057750/,https://images.carpages.ca/inventory/11057750.399707216?w=320&h=240&q=75&s=e29f08be26b58b91d9ac73cf33fbe5bc
carpages,Nissan,NV200,2020,27008,92064,"Kitchener, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/kitchener/2020-nissan-nv200-11057642/,https://images.carpages.ca/inventory/11057642.399691373?w=320&h=240&q=75&s=a99ad1985c2c9b6323476f740dc97382
carpages,Kia,Telluride,2024,63389,10,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/niagara-falls/2024-kia-telluride-11057630/,https://images.carpages.ca/inventory/11057630.399690761?w=320&h=240&q=75&s=d50a40617d67417c8191429a0b4037a1
carpages,Kia,Sportage,2023,34802,16355,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/niagara-falls/2023-kia-sportage-11057627/,https://images.carpages.ca/inventory/11057627.399690611?w=320&h=240&q=75&s=e4aaccfbc42d9ac8b769dc6dde12b5d9
carpages,Kia,Forte,2024,26589,10,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/niagara-falls/2024-kia-forte-11057624/,https://images.carpages.ca/inventory/11057624.399690608?w=320&h=240&q=75&s=59bbdef84b6c1029841ccc64e3adea17
carpages,Nissan,,2018,25278,105324,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/niagara-falls/2018-nissan-frontier-11057621/,https://images.carpages.ca/inventory/11057621.399690368?w=320&h=240&q=75&s=768c7ac0d2abde86162d32be32a559f0
carpages,Kia,Telluride,2024,59389,10,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/niagara-falls/2024-kia-telluride-11057618/,https://images.carpages.ca/inventory/11057618.399690365?w=320&h=240&q=75&s=e863f4bfedfa666d42217b549322870f
carpages,GMC,,2017,31127,170723,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/niagara-falls/2017-gmc-sierra-1500-11057612/,https://images.carpages.ca/inventory/11057612.399690212?w=320&h=240&q=75&s=1be2094b1527e19fdd626ffa4de4aabc
carpages,Kia,Carnival,2024,56472,10,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/niagara-falls/2024-kia-carnival-11057609/,https://images.carpages.ca/inventory/11057609.399690209?w=320&h=240&q=75&s=fe62882b499dd70e4896e91715d58de3
carpages,Kia,Telluride,2024,65489,10,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/niagara-falls/2024-kia-telluride-11057603/,https://images.carpages.ca/inventory/11057603.399690062?w=320&h=240&q=75&s=fb43e8af1a1f59c00ef3f375a9c9cb41
carpages,Kia,Forte,2024,31989,10,"Niagara Falls, ON",2024-03-11,https://www.carpages.ca/new-cars/ontario/niagara-falls/2024-kia-forte-11057600/,https://images.carpages.ca/inventory/11057600.399690059?w=320&h=240&q=75&s=bedb7bd42a5767fcb5bb026c8beb1e8b
carpages,Hyundai,Elantra,2023,33588,1880,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2023-hyundai-elantra-11057594/,https://images.carpages.ca/inventory/11057594.399690041?w=320&h=240&q=75&s=91bb45991ff0807be3bff2fd69565a49
carpages,Kia,Sorento,2017,17595,109212,"North York, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/north-york/2017-kia-sorento-11057498/,https://images.carpages.ca/inventory/11057498.399687224?w=320&h=240&q=75&s=870a45f99af32a2924b9ba1a8f119bcf
carpages,Hyundai,Tucson,2017,16495,125000,"Pickering, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/pickering/2017-hyundai-tucson-11057438/,https://images.carpages.ca/inventory/11057438.399683690?w=320&h=240&q=75&s=e8c9253dde6194edc8f927d37d5e64e1
carpages,Chevrolet,Cruze,2012,4500,201000,"Mississauga, ON",2024-03-11,https://www.carpages.ca/used-cars/ontario/mississauga/2012-chevrolet-cruze-11057435/,https://images.carpages.ca/inventory/11057435.399683600?w=320&h=240&q=75&s=232913be8a81863de979499e2214bda8
