source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,,Mercedes-AMG C-Class,2019,52998,78107,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/30873446,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2019,31495,70828,"Mississauga, ON",2024-03-11,https://www.kijijiautos.ca/vip/30890786,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2022,33995,21460,"Barrie, ON",2024-03-11,https://www.kijijiautos.ca/vip/29209684,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,Camry,2018,25880,30149,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/30367370,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,BMW,X1,2018,27888,68535,"North York, ON",2024-03-11,https://www.kijijiautos.ca/vip/30056317,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2019,21995,56556,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/28024330,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,,2020,29900,156000,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/29796706,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Toyota,,2021,29995,70050,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/30101257,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Accord,2017,26480,103205,"Oakville, ON",2024-03-11,https://www.kijijiautos.ca/vip/30392257,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Lexus,NX,2020,32995,112542,"Oakville, ON",2024-03-11,https://www.kijijiautos.ca/vip/30023622,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,CR-V,2014,15994,140000,"Kitchener, ON",2024-03-11,https://www.kijijiautos.ca/vip/31574537,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2020,18999,40786,"Pickering, ON",2024-03-11,https://www.kijijiautos.ca/vip/30204745,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,,2022,57500,11500,"St. Catharines, ON",2024-03-11,https://www.kijijiautos.ca/vip/29625868,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Ford,Escape,2018,17995,52323,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/29481319,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2018,15999,77900,"Brampton, ON",2024-03-11,https://www.kijijiautos.ca/vip/29212258,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Nissan,Sentra,2019,13499,75744,"Pickering, ON",2024-03-11,https://www.kijijiautos.ca/vip/29742349,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,RAM,,2022,42499,18500,"Brampton, ON",2024-03-11,https://www.kijijiautos.ca/vip/30304975,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2017,21900,62000,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/28779561,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mercedes-Benz,C-Class,2018,27990,72710,"Vaughan, ON",2024-03-11,https://www.kijijiautos.ca/vip/29630346,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Audi,A3,2016,18995,134200,"Barrie, ON",2024-03-11,https://www.kijijiautos.ca/vip/31365009,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,CR-V,2011,13950,153000,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/31535686,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,GMC,Terrain,2018,18471,66768,"Toronto, ON",2024-03-11,https://www.kijijiautos.ca/vip/30325114,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Honda,Civic,2019,18999,80010,"Scarborough, ON",2024-03-11,https://www.kijijiautos.ca/vip/30355568,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
kijijiauto,Mazda,CX-3,2017,12999,90812,"Pickering, ON",2024-03-11,https://www.kijijiautos.ca/vip/29829310,https://media.kijiji.ca/api/v1/autos-prod-ads/images/0f/0fbcd4e7-4cf4-4fcc-9276-480382840bfe?rule=move-300-jpg
